ISBN|TITLE|AUTHOR|LIBRARY_CODE|FIELD_OF_BOOK|NUMBER_OF_COPIES|PUBLICATION_YEAR|DIGITAL_VERSION|BORROWING_DAYS_LIMIT|RENEWAL_LIMIT|NUMBER_OF_AVAILABLE_BOOKS
978996101320|Calcul DIfferentiel et Integral Tome 01|Piskounov,N|515.33/PIS/1|Mathematics|6|1996|0|15|15|5
9782744070372|Compilateurs : principes, techniques et outils : avec plus de 200 exercices|Aho, Alfred|004.4 AHO/1|General Knowledge|2|2019|0|15|15|1
2729823212|Bit après bit : numération, arithmétique binaire, logique combinatoire|Mercier, Jean-Jacques|513.52 MER/1|Mathematics|1|2013|0|15|15|0
274640432X|Le Nouveau guide du PC : comprendre, acheter, entretenir, améliorer|Steiner, Jack|004 STE/1|General Knowledge|1|2002|0|15|15|0
2704200106|Introduction à l'informatique : cours et problèmes|Scheid, Francis|004 SCH|General Knowledge|1|2019|0|15|15|0
9789961017210|Compilation : cours et exercices corrigés|Ait-Aoudia, Samy|005.453 AIT/1|General Knowledge|2|2022|0|15|15|1
9782744072871|UML 2 : pratique de la modélisation|Charroux, B|005.117 CHA/1|General Knowledge|1|2015|0|15|15|0
9782711748662|Introduction au traitement d'images : théories, algorithmes, applications|Lingrand, Diane|621.367 LIN/1|Engineering|2|1992|0|15|15|1
9782746220478|UNIX, Linux, BSD : utilisateurs et développeurs|Pélissier, Christian|005.432 PEL/1|General Knowledge|1|2014|0|15|15|0
9791090085077|Apprenez à programmer en Java : a programmation professionnelle à la portée de tous !|Herby, Cyrille|005.133 DEL /1|General Knowledge|2|2009|0|15|15|1
2729826203|Compilation des langages de programmation : ce que fait un compilateur, comment le réaliser|Gautier, Martine|005.453 GAU/1|General Knowledge|2|1995|0|15|15|1
2100066692|Unix administration : systèmes et réseaux|Moreno, Jean-Michel|005.432 MOR/1|General Knowledge|1|2003|0|15|15|0
9782100710409|Arduino : maîtrisez sa programmation et ses cartes d'interface (shields)|Tavernier, Christian|621.395 ARD/1|Engineering|4|2025|0|15|15|3
9782729831059|Excel pour l'ingénieur : bases, graphiques, calculs, macros, VBA|Bellan, Philippe|005.54 BEL/1|General Knowledge|1|2021|0|15|15|0
978221212624|Linux administration. T. 1 : Les bases de l'administration système|Bouchaudy, Jean-François|005.432 BOU/1|General Knowledge|1|2025|0|15|15|0
9782867394805|Informatique et numérique à l'usage des seniors|Germain, Michele|004.678 GER/1|General Knowledge|1|2024|0|15|15|0
9782746048157|Oracle 11g : entraînez-vous sur SQL et PL/SQL|Gabillaud, Jérôme|004 GAB|General Knowledge|1|2013|0|15|15|0
2746214830|Contrôle des applications temps-réel : modèles temporisés et hybrides|Cassez, Franck|004 CAS/1|General Knowledge|1|2010|0|15|15|0
9782746229815|Informatique et intelligence ambiante : des capteurs aux applications|Calvary, Gaëlle|006.3 CALL/1|General Knowledge|1|2004|0|15|15|0
9782212128895|Accessibilité Web : normes et bonnes pratiques pour des sites plus accessibles|Altinier, Armony|004.678 ALT/1|General Knowledge|1|2005|0|15|15|0
9782746212879|Informatique diffuse : des concepts à la réalité|Banâtre, Michel|004.36 BAN/1|General Knowledge|1|2024|0|15|15|0
2729826785|Le Projet informatique de A à Z : approche pragmatique de la gestion de projet|Frémaux, Valéry Guilhem|005.12 FRE/1|General Knowledge|1|2015|0|15|15|0
9782100563470|Les Cartes à puce : théorie et mise en oeuvre|Tavernier, Christian|621.381 53 TAV|Engineering|1|2017|0|15|15|0
9782729829964|Concevoir son microprocesseur : structure des systèmes logiques|Buisson, Jean-Christophe|621.395 BUI/1|Engineering|3|1999|0|15|15|2
9782311004762|Architecture des ordinateurs : mémoires à semi-conducteurs, principe de fonctionnement et organisation interne des mémoires vives|Darche, Philippe|004.22 DAR/1|General Knowledge|1|2017|0|15|15|0
9789961006030|Introduction a l'architecture des ordinateurs|Drias-Zerkaoui, Habiba||Unknown|15|2024|0|15|15|14
9782746085398|Les VPN : fonctionnement, mise en oeuvre et maintenance des réseaux privés virtuels|Archier, Jean-Paul|004.67 ARC/1|General Knowledge|1|1997|0|15|15|0
9789957525880|Digital signal processing (with matlab) : ?????? ??????? ??????? ???????? ????????|Abu Jzar; Amjad abbas|004 ABU|General Knowledge|1|2007|0|15|15|0
9789973375803|Méthodologies de la recherche scientifique|Zidi, Anés|001.8 ZID/1|General Knowledge|1|2016|0|15|15|0
9781118691328|How to do a research project : a guide for undergraduate students|Robson, Colin|001.8 ROB/1|General Knowledge|2|1992|0|15|15|1
9789961012222|Guide de méthodologie de la recherche post- graduée : mémoires de licence et de magistére, thése de doctorat application au domaine des sciences commerciales|Zellal, Nacira|001.81 ZEL|General Knowledge|1|1998|0|15|15|0
2746032821|Solaris 10 : administration d'un système Unix|Dutreix, Michel|005.432 DUT/1|General Knowledge|2|2013|0|15|15|1
9782212121353|Apprendre le C++|Delannoy, Claude|005.133 DEL/1|General Knowledge|1|2023|0|15|15|0
2711748383|Introduction aux bases de données|Date, Chris|005.74 DAT|General Knowledge|1|2007|0|15|15|0
9782893773520|Microsoft Access 2007|Friedrichsen, Lisa|004.4 FRI|General Knowledge|1|2018|0|15|15|0
2100074482|Sécurité informatique et réseaux : cours et exercices corrigés|Ghernaouti-Hélie, Solange|005.8 GHE/1|General Knowledge|1|2007|0|15|15|0
9782212120219|Sécurité informatique : principes et méthode|Bloch, Laurent|005.8 BLO|General Knowledge|1|1992|0|15|15|0
2729899146|Approche du temps reel industriel|De Geeter, Jean-Marie|004 DEG|General Knowledge|2|2018|0|15|15|1
2711786498|Client-serveur : guide de survie|Orfali, Robert|004.38 ORF|General Knowledge|1|2013|0|15|15|0
9782100526734|Microsoft SQL Server 2008 : étape par étape|Hotek, Mike|005.758 5 HOT|General Knowledge|1|2010|0|15|15|0
2746211432|Les Documents écrits : de la numérisation à l'indexation par le contenu|Mullot, Rémy|020 MUL|Library & Information Science|1|2016|0|15|15|0
